"18","PROV-LG ATHÉNÉE GUY LANG","prov-lg-athenee-guy-lang","Grand'Route 317",,"Flémalle",,"4400",,,,,,,"7-athenee_guy_lang.jpg","0","<p>POSITION : situé à la direction SIS dans le hall principale</p>
<hr class=""system-pagebreak"" />
<p>DISPONIBILITÉ : horaire scolaire</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.4740279000","50.6002395","19","34","62","1","0",,"flémalle,athénée, 4400","647"
"14","GALERIES ST LAMBERT","galeries-st-lambert","Place Saint Lambert, 27",,"Liège",,"4000",,,,,,,"galerie_st_lambert.jpg","0","<p>POSITION : situé au rez-de-chaussée, en face du magazin Inno.</p>
<hr class=""system-pagebreak"" />
<p>DISPONIBILITÉ : du lundi au samedi de 9h30 à 18h30.</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.5742698999","50.6451672","14","34","62","1","0",,"galerie, galeries st lambert, saint lambert, liège","651"
"15","KABELWERK","kabelwerk","rue de Malmedy, 9",,"Eupen",,"4700",,,,,,,"eupen.jpg_.jpg","0",,,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","6.0372999999","50.6223251","12","34","62","1","0",,"kabelwerk, eupen, rue de Malmedy, 4700","650"
"16","PISCINE HUY","piscine-huy","Avenue Godin-Parnajon, 5",,"Huy",,"4500",,,,,,,,"0","<p>DISPONIBILITÉ : du lundi au vendredi de 8h à 16h</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.2426580000","50.5238672","15","34","62","1","0",,"piscine, huy, ","649"
"17","PROV-LG MAISON DE LA FORMATION","prov-lg-maison-de-la-formation","Rue Cockerill, 101",,"Seraing",,"4100",,,,,,,"34-formation__-_seraing.jpg","0","<p>POSITION 1 : situé en face de l'accueil au rez-de-chaussée.</p>
<hr class=""system-pagebreak"" />
<p>POSITION 2 : DEA mobile, situé à l'école de police.</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.5123868140","50.611724883","18","34","62","1","0",,"seraing, cecotepe, ecole formation,provinciale","648"
"22","CILE02","cile02","Rue du Canal de l'Ourthe 8",,"Angleur",,"4031",,,,,,,,"0","<p>POSITION : situé à l'accueil au rez-de-chaussée</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.6082369000","50.6139424","13","34","62","1","0",,"cile, angleur, compagnie des eaux","644"
"23","ZINACOR","zinacor","Rue de Chênée 53",,"Angleur",,"4031",,,,,,,,"0","<p>POSITION : situé à l'atelier de fabrication au rez-de-chaussée</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.6075468000","50.6103455","14","34","62","1","0",,"zinacor,angleur,4031","643"
"20","ADEPS","adeps","Quai des Ardennes 127 ",,"Angleur",,"4031",,,,,,,,"0","<p>POSITION : situé à l'accueil au rez-de-chaussée</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.6063722999","50.6152542","13","34","62","1","0",,"adeps, centre adeps, angleur, bois st jean","646"
"21","CILE","cile","Quai des Ardennes 127 ",,"angleur",,"4031",,,,,,,,"0","<p>POSITION : situé à l'accueil au rez-de-chaussée</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.6063722999","50.6152542","14","34","62","1","0",,"cile, angleur, compagnie intercommunale liégeoise des eaux","645"
"24","CENTRE SPORTIF D'AWANS","centre-sportif-dawans","Rue de l'Eglise 21",,"Awans",,"4340",,,,,,,,"0",,,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.4620070999","50.665147","12","34","62","1","0",,"awans,4340,centre sportif","642"
"25","PROV-LG DOMAINE PROVINCIAL DE WÉGIMONT","prov-lg-domaine-provincial-de-wegimont","Ch. De Wégimont 76 ",,"Ayeneux",,"4630",,,,,,,"2-domaine_provincial_de_wégimont.jpg","0","<p>POSITION 1 : situé au complexe touristique de Wegimont, dans le hall d'accueil direction château</p>
<hr class=""system-pagebreak"" />
<p>POSITION 2 : DEA mobile, situé à la piscine ou au camping.</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.7337413999","50.608868","11","34","62","1","0",,"AYENEUX, wegimont, 4630","641"
"26","AGISCA FOOTBALL","agisca-football","Avenue de la Porallée",,"Aywaille",,"4920",,,,,,,,"0","<p>POSITION : situé à la cafétaria du stade</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.6973748618","50.479058245","14","34","62","1","0"," ","Aywaille,agisca,football,stade,4920","640"
